route_id,service_id,trip_id
IC106,1,IC10611
IC107,2,IC10721
IC108,3,IC10831
IC109,4,IC10941
IC110,5,IC11051
IC111,6,IC11161
IC112,7,IC11271
IC113,8,IC11381
IC114,9,IC11491
IC115,10,IC115101
IC116,11,IC116111
IC117,12,IC117121
IC118,13,IC118131
IC119,14,IC119141
IC120,15,IC120151
IC121,16,IC121161
IC122,17,IC122171
IC123,18,IC123181
IC503,19,IC503191
IC608,20,IC608201
IC609,21,IC609211
IC610,22,IC610221
IC612,23,IC612231
IC614,24,IC614241
IC615,25,IC615251
IC616,26,IC616261
IC617,27,IC617271
IC618,28,IC618281
IC619,29,IC619291
IC620,30,IC620301
IC621,31,IC621311
IC628,32,IC628321
IC629,33,IC629331
IC630,34,IC630341
IC632,35,IC632351
IC634,36,IC634361
IC635,37,IC635371
IC636,38,IC636381
IC637,39,IC637391
IC638,40,IC638401
IC639,41,IC639411
IC640,42,IC640421
IC641,43,IC641431
IC1903,44,IC1903441
IC1928,45,IC1928451
IC1929,46,IC1929461
IC1930,47,IC1930471
IC1932,48,IC1932481
IC1933,49,IC1933491
IC1935,50,IC1935501
IC1936,51,IC1936511
IC1937,52,IC1937521
IC1939,53,IC1939531
IC1940,54,IC1940541
IC1942,55,IC1942551
IC1943,56,IC1943561
IC1945,58,IC1945581
IC2103,59,IC2103591
IC2104,60,IC2104601
IC2105,61,IC2105611
IC2144,62,IC2144621
IC2244,63,IC2244631
IC2303,64,IC2303641
IC2343,65,IC2343651
IC2344,66,IC2344661
IC2345,67,IC2345671
IC2505,68,IC2505681
IC2543,69,IC2543691
IC2604,70,IC2604701
IC2606,71,IC2606711
IC2623,72,IC2623721
IC2645,73,IC2645731
IC2845,74,IC2845741
IC2904,75,IC2904751
IC2905,76,IC2905761
IC2908,77,IC2908771
IC2909,78,IC2909781
IC2910,79,IC2910791
IC2911,80,IC2911801
IC2912,81,IC2912811
IC2913,82,IC2913821
IC2914,83,IC2914831
IC2915,84,IC2915841
IC2916,85,IC2916851
IC2917,86,IC2917861
IC2918,87,IC2918871
IC2920,88,IC2920881
IC2921,89,IC2921891
IC2922,90,IC2922901
IC2927,91,IC2927911
IC2929,92,IC2929921
IC2930,93,IC2930931
IC2931,94,IC2931941
IC2932,95,IC2932951
IC2933,96,IC2933961
IC2934,97,IC2934971
IC2935,98,IC2935981
IC2936,99,IC2936991
IC2937,100,IC29371001
IC2938,101,IC29381011
IC2939,102,IC29391021
IC2940,103,IC29401031
IC2941,104,IC29411041
IC2943,105,IC29431051
IC3105,106,IC31051061
IC3106,107,IC31061071
IC3107,108,IC31071081
IC3108,109,IC31081091
IC3109,110,IC31091101
IC3110,111,IC31101111
IC3111,112,IC31111121
IC3112,113,IC31121131
IC3113,114,IC31131141
IC3114,115,IC31141151
IC3115,116,IC31151161
IC3116,117,IC31161171
IC3117,118,IC31171181
IC3118,119,IC31181191
IC3119,120,IC31191201
IC3120,121,IC31201211
IC3121,122,IC31211221
IC3122,123,IC31221231
IC3127,124,IC31271241
IC3128,125,IC31281251
IC3129,126,IC31291261
IC3130,127,IC31301271
IC3131,128,IC31311281
IC3132,129,IC31321291
IC3133,130,IC31331301
IC3134,131,IC31341311
IC3135,132,IC31351321
IC3136,133,IC31361331
IC3137,134,IC31371341
IC3138,135,IC31381351
IC3139,136,IC31391361
IC3140,137,IC31401371
IC3141,138,IC31411381
IC3142,139,IC31421391
IC3143,140,IC31431401
IC3306,142,IC33061421
IC3307,143,IC33071431
IC3308,144,IC33081441
IC3309,145,IC33091451
IC3310,146,IC33101461
IC3311,147,IC33111471
IC3312,148,IC33121481
IC3313,149,IC33131491
IC3314,150,IC33141501
IC3315,151,IC33151511
IC3316,152,IC33161521
IC3317,153,IC33171531
IC3318,154,IC33181541
IC3319,155,IC33191551
IC3323,156,IC33231561
IC3327,157,IC33271571
IC3328,158,IC33281581
IC3329,159,IC33291591
IC3330,160,IC33301601
IC3331,161,IC33311611
IC3332,162,IC33321621
IC3333,163,IC33331631
IC3335,164,IC33351641
IC3336,165,IC33361651
IC3337,166,IC33371661
IC3338,167,IC33381671
IC3340,168,IC33401681
IC3341,169,IC33411691
IC3342,170,IC33421701
IC3343,171,IC33431711
IC3726,172,IC37261721
IC3728,173,IC37281731
IC3729,174,IC37291741
IC3731,175,IC37311751
IC3732,176,IC37321761
IC3733,177,IC37331771
IC3735,178,IC37351781
IC3736,179,IC37361791
IC3738,180,IC37381801
IC3739,181,IC37391811
IC3740,182,IC37401821
IC3742,183,IC37421831
IC3743,184,IC37431841
IC3744,185,IC37441851
IC3804,186,IC38041861
IC3822,187,IC38221871
IC3827,188,IC38271881
IC3845,189,IC38451891
IC3908,190,IC39081901
IC3910,191,IC39101911
IC3912,192,IC39121921
IC3914,193,IC39141931
IC3916,194,IC39161941
IC3918,195,IC39181951
IC3920,196,IC39201961
IC3922,197,IC39221971
IC3927,198,IC39271981
IC3929,199,IC39291991
IC3931,200,IC39312001
IC3933,201,IC39332011
IC3935,202,IC39352021
IC3937,203,IC39372031
IC3939,204,IC39392041
IC3941,205,IC39412051
IC4206,206,IC42062061
IC4207,207,IC42072071
IC4209,208,IC42092081
IC4210,209,IC42102091
IC4211,210,IC42112101
IC4212,211,IC42122111
IC4213,212,IC42132121
IC4214,213,IC42142131
IC4215,214,IC42152141
IC4216,215,IC42162151
IC4217,216,IC42172161
IC4218,217,IC42182171
IC4219,218,IC42192181
IC4220,219,IC42202191
IC4221,220,IC42212201
IC4222,221,IC42222211
IC4228,222,IC42282221
IC4229,223,IC42292231
IC4230,224,IC42302241
IC4231,225,IC42312251
IC4232,226,IC42322261
IC4233,227,IC42332271
IC4234,228,IC42342281
IC4235,229,IC42352291
IC4236,230,IC42362301
IC4237,231,IC42372311
IC4238,232,IC42382321
IC4239,233,IC42392331
